,From,To,Day,Month,Holiday,Distance,Occupancy
119,1,3,5,9,0,2079.0,85
120,2,1,4,9,0,1717.93,79
121,4,6,3,3,0,623.48,77
122,7,2,4,6,0,1561.76,87
123,1,3,5,1,0,2079.0,85
124,5,7,5,12,0,1363.71,81
125,7,2,3,5,0,1561.76,77
126,7,2,6,12,0,1561.76,84
127,7,2,4,6,0,1561.76,85
128,2,1,2,6,0,1717.93,83
129,5,7,4,3,0,1363.71,87
130,2,1,5,3,0,1717.93,75
131,1,3,7,6,1,2079.0,93
132,1,3,5,12,0,2079.0,84
133,7,2,7,6,1,1561.76,97
134,1,3,3,5,0,2079.0,90
135,1,3,7,5,1,2079.0,97
136,1,3,5,6,0,2079.0,77
137,1,3,5,6,0,2079.0,88
138,2,1,6,5,0,1717.93,76
139,1,3,1,3,1,2079.0,96
140,1,3,4,9,0,2079.0,78
141,7,2,5,6,0,1561.76,78
142,1,3,7,6,1,2079.0,98
143,1,3,6,9,0,2079.0,85
144,1,3,3,5,0,2079.0,75
145,7,2,3,5,0,1561.76,79
146,1,3,4,3,0,2079.0,89
147,1,3,2,3,0,2079.0,90
148,1,3,2,6,0,2079.0,80
149,1,3,6,9,0,2079.0,90
150,7,2,2,3,0,1561.76,90
151,1,3,5,3,0,2079.0,85
152,2,1,5,6,0,1717.93,90
153,7,2,5,12,0,1561.76,87
154,7,2,6,5,0,1561.76,78
155,7,2,5,9,0,1561.76,89
156,1,3,5,6,0,2079.0,89
157,2,1,1,3,1,1717.93,100
158,7,2,5,12,0,1561.76,80
159,1,3,2,6,0,2079.0,76
160,7,2,7,1,1,1561.76,97
161,2,1,1,3,1,1717.93,97
162,7,2,6,9,0,1561.76,79
163,1,3,5,9,0,2079.0,87
164,1,3,6,12,0,2079.0,86
165,1,3,2,5,0,2079.0,79
166,4,6,1,3,1,623.48,93
167,2,1,3,5,0,1717.93,78
168,1,3,4,3,0,2079.0,80
169,2,1,2,5,0,1717.93,86
170,1,3,2,3,0,2079.0,82
171,1,3,5,4,0,2079.0,81
172,7,2,6,9,0,1561.76,80
173,1,3,5,6,0,2079.0,81
174,7,2,4,6,0,1561.76,78
175,7,2,6,12,0,1561.76,80
176,1,3,2,3,0,2079.0,83
177,7,2,3,5,0,1561.76,76
178,7,2,4,6,0,1561.76,76
179,1,3,3,5,0,2079.0,83
180,1,3,1,1,1,2079.0,91
181,4,6,4,3,0,623.48,75
182,1,3,4,5,0,2079.0,81
183,7,2,4,6,0,1561.76,89
184,5,7,5,12,0,1363.71,80
185,1,3,2,6,0,2079.0,89
186,1,3,5,6,0,2079.0,82
187,7,2,5,6,0,1561.76,77
188,7,2,4,3,0,1561.76,87
189,2,1,6,12,0,1717.93,87
190,2,1,1,3,1,1717.93,94
191,1,3,4,3,0,2079.0,78
192,1,3,2,6,0,2079.0,86
193,2,1,5,6,0,1717.93,89
194,2,1,3,12,0,1717.93,88
195,5,7,5,6,0,1363.71,88
196,7,2,6,12,0,1561.76,86
197,1,3,2,6,0,2079.0,80
198,2,1,2,3,0,1717.93,85
199,1,3,4,3,0,2079.0,84
200,7,2,1,3,1,1561.76,90
201,2,1,4,3,0,1717.93,79
202,1,3,4,4,0,2079.0,75
203,1,3,7,5,1,2079.0,98
204,1,3,4,3,0,2079.0,86
205,2,1,5,4,0,1717.93,80
206,1,3,4,3,0,2079.0,88
207,2,1,5,6,0,1717.93,78
208,7,2,3,5,0,1561.76,79
209,1,3,7,5,1,2079.0,98
210,2,1,5,12,0,1717.93,81
211,1,3,5,6,0,2079.0,75
212,1,3,5,6,0,2079.0,77
213,1,3,4,3,0,2079.0,76
214,1,3,1,1,1,2079.0,91
215,4,6,2,6,0,623.48,76
216,7,2,6,9,0,1561.76,75
217,2,1,1,1,1,1717.93,100
218,2,1,5,12,0,1717.93,86
219,1,3,6,9,0,2079.0,87
220,2,1,4,12,0,1717.93,88
221,1,3,6,12,0,2079.0,88
222,4,6,2,3,0,623.48,85
223,1,3,5,9,0,2079.0,87
224,1,3,6,9,0,2079.0,88
225,1,3,5,6,0,2079.0,75
226,1,3,1,3,1,2079.0,91
227,2,1,7,4,1,1717.93,100
228,4,6,3,5,0,623.48,75
229,4,6,2,5,0,623.48,81
230,7,2,1,3,1,1561.76,100
231,7,2,4,12,0,1561.76,76
232,1,3,7,5,1,2079.0,95
233,1,3,3,9,0,2079.0,83
234,1,3,7,1,1,2079.0,96
235,7,2,7,1,1,1561.76,97
236,1,3,2,6,0,2079.0,78
237,1,3,7,5,1,2079.0,93
238,2,1,6,3,0,1717.93,88
239,1,3,2,6,0,2079.0,90
240,2,1,2,3,0,1717.93,87
241,7,2,5,6,0,1561.76,82
242,1,3,6,9,0,2079.0,86
243,5,7,6,12,0,1363.71,90
244,5,7,2,3,0,1363.71,80
245,2,1,4,4,0,1717.93,85
246,1,3,6,9,0,2079.0,90
247,1,3,4,5,0,2079.0,76
248,5,7,5,6,0,1363.71,83
249,1,3,5,6,0,2079.0,88
250,1,3,1,3,1,2079.0,96
251,1,3,1,1,1,2079.0,92
252,7,2,6,5,0,1561.76,81
253,1,3,4,3,0,2079.0,88
254,1,3,5,3,0,2079.0,86
255,4,6,5,3,0,623.48,79
256,2,1,5,9,0,1717.93,77
257,2,1,6,6,0,1717.93,75
258,1,3,5,6,0,2079.0,77
259,1,3,4,3,0,2079.0,84
260,2,1,4,3,0,1717.93,86
261,2,1,1,3,1,1717.93,98
262,7,2,2,3,0,1561.76,87
263,1,3,3,9,0,2079.0,86
264,7,2,3,5,0,1561.76,79
265,1,3,5,3,0,2079.0,87
266,1,3,2,6,0,2079.0,79
267,7,2,6,12,0,1561.76,85
268,5,7,5,1,0,1363.71,87
269,2,1,2,6,0,1717.93,86
270,7,2,7,1,1,1561.76,98
271,1,3,6,12,0,2079.0,76
272,1,3,1,1,1,2079.0,95
273,1,3,5,6,0,2079.0,82
274,1,3,4,9,0,2079.0,84
275,4,6,6,3,0,623.48,79
276,4,6,4,3,0,623.48,82
277,7,2,6,12,0,1561.76,75
278,1,3,3,9,0,2079.0,85
279,1,3,2,6,0,2079.0,81
280,7,2,6,12,0,1561.76,87
281,1,3,1,3,1,2079.0,90
282,2,1,6,5,0,1717.93,75
283,7,2,5,6,0,1561.76,83
284,7,2,4,6,0,1561.76,90
285,1,3,2,5,0,2079.0,80
286,2,1,5,12,0,1717.93,78
287,1,3,2,6,0,2079.0,77
288,1,3,2,5,0,2079.0,80
289,2,1,3,12,0,1717.93,82
290,1,3,1,3,1,2079.0,93
291,1,3,5,3,0,2079.0,79
292,7,2,5,6,0,1561.76,82
293,4,6,2,6,0,623.48,85
294,7,2,7,5,1,1561.76,93
295,2,1,4,6,0,1717.93,82
296,2,1,5,3,0,1717.93,80
297,5,7,2,3,0,1363.71,77
298,1,3,5,6,0,2079.0,79
299,2,1,5,9,0,1717.93,83
300,4,6,3,3,0,623.48,88
301,2,1,5,6,0,1717.93,81
302,7,2,5,12,0,1561.76,83
303,1,3,5,6,0,2079.0,75
304,1,3,3,9,0,2079.0,81
305,1,3,4,3,0,2079.0,76
306,2,1,6,3,0,1717.93,80
307,1,3,5,6,0,2079.0,81
308,1,3,5,6,0,2079.0,75
309,7,2,4,4,0,1561.76,83
310,7,2,3,5,0,1561.76,77
311,1,3,4,3,0,2079.0,77
312,7,2,6,12,0,1561.76,79
313,1,3,1,3,1,2079.0,96
314,5,7,2,6,0,1363.71,76
315,1,3,5,6,0,2079.0,80
316,5,7,3,5,0,1363.71,87
317,1,3,5,6,0,2079.0,76
318,1,3,1,1,1,2079.0,91
319,7,2,6,3,0,1561.76,80
320,2,1,5,6,0,1717.93,87
321,1,3,6,9,0,2079.0,86
322,7,2,7,6,1,1561.76,99
323,2,1,3,12,0,1717.93,82
324,7,2,7,1,1,1561.76,99
325,1,3,2,5,0,2079.0,88
326,1,3,2,5,0,2079.0,81
327,1,3,2,6,0,2079.0,80
328,2,1,1,3,1,1717.93,94
329,7,2,1,3,1,1561.76,97
330,7,2,6,9,0,1561.76,88
331,1,3,5,3,0,2079.0,85
332,2,1,4,9,0,1717.93,83
333,7,2,3,12,0,1561.76,83
334,2,1,6,5,0,1717.93,89
335,7,2,4,6,0,1561.76,82
336,1,3,4,9,0,2079.0,83
337,1,3,4,3,0,2079.0,90
338,1,3,3,6,0,2079.0,76
339,1,3,2,5,0,2079.0,76
340,2,1,7,6,1,1717.93,90
341,1,3,2,5,0,2079.0,86
342,7,2,5,9,0,1561.76,87
343,1,3,2,6,0,2079.0,85
344,1,3,4,9,0,2079.0,86
345,7,2,5,6,0,1561.76,81
346,1,3,2,5,0,2079.0,85
347,1,3,6,12,0,2079.0,87
348,7,2,6,9,0,1561.76,83
349,2,1,4,4,0,1717.93,85
350,2,1,7,4,1,1717.93,95
351,1,3,4,5,0,2079.0,75
352,7,2,7,6,1,1561.76,93
353,2,1,5,1,0,1717.93,82
354,1,3,4,3,0,2079.0,77
355,2,1,1,1,1,1717.93,100
356,2,1,2,3,0,1717.93,77
357,1,3,5,3,0,2079.0,75
358,2,1,6,6,0,1717.93,80
359,1,3,2,6,0,2079.0,80
360,2,1,6,9,0,1717.93,81
361,7,2,1,3,1,1561.76,95
362,2,1,5,6,0,1717.93,79
363,2,1,2,6,0,1717.93,78
364,7,2,1,3,1,1561.76,99
365,1,3,4,5,0,2079.0,82
366,1,3,6,12,0,2079.0,82
367,5,7,1,3,1,1363.71,91
368,7,2,4,9,0,1561.76,78
369,2,1,3,9,0,1717.93,77
370,1,3,2,4,0,2079.0,79
371,7,2,6,5,0,1561.76,80
372,2,1,4,9,0,1717.93,80
373,2,1,2,3,0,1717.93,84
374,4,6,4,3,0,623.48,80
375,1,3,5,9,0,2079.0,83
376,1,3,4,3,0,2079.0,76
377,7,2,6,12,0,1561.76,87
378,7,2,1,3,1,1561.76,99
379,2,1,2,3,0,1717.93,83
380,1,3,2,6,0,2079.0,81
381,1,3,5,9,0,2079.0,78
382,2,1,4,9,0,1717.93,90
383,7,2,7,1,1,1561.76,90
384,1,3,5,6,0,2079.0,76
385,5,7,4,3,0,1363.71,86
386,1,3,1,1,1,2079.0,97
387,4,6,3,6,0,623.48,89
388,7,2,7,5,1,1561.76,90
389,1,3,2,5,0,2079.0,84
390,1,3,1,1,1,2079.0,98
391,1,3,5,9,0,2079.0,90
392,1,3,4,5,0,2079.0,81
393,1,3,1,3,1,2079.0,98
394,1,3,3,5,0,2079.0,89
395,2,1,5,6,0,1717.93,84
396,1,3,5,1,0,2079.0,77
397,5,7,4,3,0,1363.71,90
398,2,1,3,9,0,1717.93,90
399,7,2,5,6,0,1561.76,89
400,2,1,3,12,0,1717.93,79
401,1,3,4,3,0,2079.0,86
402,1,3,7,6,1,2079.0,96
403,2,1,3,9,0,1717.93,88
404,1,3,5,6,0,2079.0,90
405,7,2,5,6,0,1561.76,90
406,1,3,3,5,0,2079.0,75
407,2,1,5,4,0,1717.93,80
408,1,3,4,3,0,2079.0,85
409,1,3,6,12,0,2079.0,80
410,1,3,7,5,1,2079.0,90
411,7,2,6,12,0,1561.76,78
412,1,3,3,5,0,2079.0,80
413,1,3,5,3,0,2079.0,76
414,2,1,7,5,1,1717.93,97
415,7,2,1,3,1,1561.76,97
416,7,2,5,12,0,1561.76,81
417,1,3,7,5,1,2079.0,94
418,1,3,2,6,0,2079.0,90
419,1,3,3,9,0,2079.0,78
420,1,3,4,5,0,2079.0,89
421,7,2,7,5,1,1561.76,98
422,4,6,7,5,1,623.48,91
423,2,1,4,12,0,1717.93,76
424,5,7,3,5,0,1363.71,78
425,1,3,5,6,0,2079.0,77
426,2,1,1,3,1,1717.93,100
427,1,3,4,5,0,2079.0,79
428,2,1,4,9,0,1717.93,82
429,7,2,4,6,0,1561.76,82
430,2,1,4,12,0,1717.93,81
431,1,3,5,9,0,2079.0,78
432,7,2,6,1,0,1561.76,82
433,2,1,5,4,0,1717.93,86
434,2,1,1,1,1,1717.93,96
435,1,3,7,5,1,2079.0,92
436,1,3,1,3,1,2079.0,97
437,1,3,1,4,1,2079.0,95
438,1,3,4,9,0,2079.0,82
439,1,3,5,6,0,2079.0,76
440,2,1,1,4,1,1717.93,95
441,7,2,5,12,0,1561.76,87
442,1,3,7,5,1,2079.0,94
443,2,1,6,3,0,1717.93,89
444,7,2,6,9,0,1561.76,81
445,2,1,3,6,0,1717.93,88
446,1,3,2,6,0,2079.0,78
447,5,7,1,1,1,1363.71,99
448,7,2,4,5,0,1561.76,75
449,7,2,6,1,0,1561.76,79
450,1,3,6,9,0,2079.0,90
451,1,3,1,1,1,2079.0,98
452,1,3,5,6,0,2079.0,83
453,2,1,5,4,0,1717.93,76
454,1,3,5,6,0,2079.0,86
455,1,3,7,5,1,2079.0,92
456,1,3,2,3,0,2079.0,80
457,5,7,5,6,0,1363.71,86
458,7,2,7,5,1,1561.76,94
459,1,3,7,6,1,2079.0,98
460,1,3,4,3,0,2079.0,81
461,2,1,7,1,1,1717.93,100
462,1,3,4,4,0,2079.0,84
463,2,1,3,9,0,1717.93,89
464,7,2,7,6,1,1561.76,97
465,7,2,5,12,0,1561.76,81
466,7,2,2,6,0,1561.76,82
467,1,3,6,9,0,2079.0,90
468,1,3,1,3,1,2079.0,98
469,2,1,3,3,0,1717.93,75
470,1,3,5,3,0,2079.0,90
471,1,3,4,3,0,2079.0,84
472,1,3,2,6,0,2079.0,79
473,1,3,2,6,0,2079.0,89
474,2,1,3,9,0,1717.93,78
475,1,3,1,3,1,2079.0,96
476,2,1,4,3,0,1717.93,81
477,7,2,7,5,1,1561.76,98
478,2,1,2,3,0,1717.93,87
479,1,3,3,5,0,2079.0,89
480,7,2,6,12,0,1561.76,75
481,1,3,7,5,1,2079.0,90
482,7,2,6,5,0,1561.76,85
483,1,3,5,9,0,2079.0,83
484,7,2,1,4,1,1561.76,100
485,5,7,2,6,0,1363.71,84
486,2,1,5,1,0,1717.93,82
487,7,2,7,5,1,1561.76,94
488,5,7,1,1,1,1363.71,92
489,2,1,2,3,0,1717.93,79
490,2,1,5,1,0,1717.93,79
491,1,3,6,1,0,2079.0,85
492,1,3,2,6,0,2079.0,85
493,1,3,5,6,0,2079.0,77
494,1,3,5,3,0,2079.0,84
495,7,2,4,6,0,1561.76,88
496,1,3,5,6,0,2079.0,90
497,1,3,6,1,0,2079.0,83
498,7,2,4,5,0,1561.76,90
499,1,3,6,12,0,2079.0,85
500,2,1,6,9,0,1717.93,75
501,4,6,4,3,0,623.48,88
502,1,3,7,5,1,2079.0,97
503,1,3,5,6,0,2079.0,83
504,1,3,1,3,1,2079.0,96
505,4,6,2,5,0,623.48,85
506,1,3,3,9,0,2079.0,87
507,5,7,5,9,0,1363.71,83
508,7,2,3,5,0,1561.76,85
509,1,3,1,1,1,2079.0,96
510,2,1,5,1,0,1717.93,90
511,4,6,3,9,0,623.48,75
512,2,1,5,3,0,1717.93,88
513,7,2,4,6,0,1561.76,86
514,1,3,5,6,0,2079.0,77
515,1,3,1,3,1,2079.0,97
516,5,7,2,5,0,1363.71,89
517,1,3,4,5,0,2079.0,87
518,1,3,5,3,0,2079.0,84
519,2,1,7,4,1,1717.93,99
520,1,3,1,3,1,2079.0,91
521,1,3,1,4,1,2079.0,96
522,1,3,2,5,0,2079.0,77
523,5,7,3,5,0,1363.71,78
524,2,1,5,3,0,1717.93,77
525,7,2,7,1,1,1561.76,90
526,1,3,2,5,0,2079.0,86
527,1,3,2,5,0,2079.0,88
528,2,1,6,5,0,1717.93,78
529,1,3,4,4,0,2079.0,87
530,7,2,4,6,0,1561.76,90
531,1,3,7,6,1,2079.0,93
532,1,3,5,6,0,2079.0,89
533,7,2,1,3,1,1561.76,91
534,7,2,4,6,0,1561.76,85
535,7,2,5,9,0,1561.76,81
536,2,1,2,6,0,1717.93,86
537,5,7,5,1,0,1363.71,75
538,2,1,3,6,0,1717.93,83
539,7,2,6,1,0,1561.76,86
540,7,2,7,5,1,1561.76,100
541,7,2,4,4,0,1561.76,83
542,1,3,2,6,0,2079.0,83
543,7,2,1,3,1,1561.76,96
544,7,2,1,3,1,1561.76,91
545,4,6,3,9,0,623.48,75
546,1,3,2,6,0,2079.0,76
547,7,2,6,12,0,1561.76,75
548,2,1,1,1,1,1717.93,92
549,7,2,3,5,0,1561.76,77
550,1,3,4,4,0,2079.0,86
551,1,3,1,3,1,2079.0,99
552,5,7,5,3,0,1363.71,83
553,1,3,3,9,0,2079.0,85
554,2,1,7,6,1,1717.93,100
555,7,2,6,1,0,1561.76,87
556,1,3,5,9,0,2079.0,82
557,2,1,6,9,0,1717.93,82
558,7,2,4,6,0,1561.76,76
559,7,2,4,5,0,1561.76,87
560,7,2,5,9,0,1561.76,79
561,7,2,4,12,0,1561.76,89
562,1,3,7,6,1,2079.0,99
563,1,3,5,4,0,2079.0,82
564,7,2,6,12,0,1561.76,75
565,1,3,1,1,1,2079.0,92
566,1,3,2,6,0,2079.0,75
567,2,1,3,5,0,1717.93,85
568,7,2,6,6,0,1561.76,75
569,4,6,1,3,1,623.48,97
570,7,2,7,5,1,1561.76,98
571,1,3,3,6,0,2079.0,88
572,2,1,1,3,1,1717.93,95
573,7,2,1,3,1,1561.76,100
574,1,3,2,5,0,2079.0,88
575,2,1,3,9,0,1717.93,76
576,1,3,1,1,1,2079.0,96
577,7,2,5,1,0,1561.76,85
578,1,3,7,6,1,2079.0,94
579,1,3,7,6,1,2079.0,97
580,2,1,1,4,1,1717.93,97
581,1,3,4,5,0,2079.0,75
582,7,2,4,4,0,1561.76,85
583,1,3,7,5,1,2079.0,98
584,4,6,2,3,0,623.48,79
585,1,3,7,6,1,2079.0,96
586,2,1,7,5,1,1717.93,97
587,7,2,1,3,1,1561.76,90
588,1,3,5,9,0,2079.0,88
589,2,1,6,3,0,1717.93,81
590,7,2,4,5,0,1561.76,76
591,2,1,1,1,1,1717.93,99
592,2,1,1,4,1,1717.93,99
593,2,1,7,5,1,1717.93,98
594,7,2,5,9,0,1561.76,77
595,5,7,3,5,0,1363.71,85
596,2,1,5,3,0,1717.93,81
597,4,6,2,6,0,623.48,84
598,1,3,1,1,1,2079.0,96
599,1,3,3,6,0,2079.0,88
600,1,3,7,5,1,2079.0,100
601,7,2,2,4,0,1561.76,88
602,1,3,2,5,0,2079.0,85
603,2,1,6,3,0,1717.93,88
604,1,3,1,1,1,2079.0,95
605,2,1,5,3,0,1717.93,81
606,7,2,5,9,0,1561.76,78
607,7,2,6,1,0,1561.76,83
608,7,2,7,1,1,1561.76,94
609,1,3,5,9,0,2079.0,83
610,2,1,7,1,1,1717.93,98
611,1,3,5,3,0,2079.0,83
612,1,3,7,6,1,2079.0,90
613,1,3,4,3,0,2079.0,83
614,7,2,3,6,0,1561.76,89
615,1,3,5,9,0,2079.0,90
616,7,2,2,5,0,1561.76,80
617,1,3,4,3,0,2079.0,90
618,2,1,3,3,0,1717.93,77
619,1,3,7,1,1,2079.0,94
620,2,1,3,12,0,1717.93,76
621,2,1,6,3,0,1717.93,86
622,2,1,7,6,1,1717.93,94
623,7,2,5,6,0,1561.76,90
624,1,3,2,6,0,2079.0,88
625,2,1,3,12,0,1717.93,83
626,7,2,4,6,0,1561.76,87
627,2,1,3,12,0,1717.93,86
628,2,1,6,3,0,1717.93,76
629,7,2,7,5,1,1561.76,97
630,2,1,5,1,0,1717.93,78
631,7,2,4,6,0,1561.76,86
632,7,2,5,6,0,1561.76,83
633,2,1,7,1,1,1717.93,96
634,2,1,3,3,0,1717.93,75
635,4,6,1,3,1,623.48,98
636,1,3,5,3,0,2079.0,77
637,2,1,7,4,1,1717.93,99
638,1,3,2,5,0,2079.0,90
639,5,7,7,6,1,1363.71,95
640,7,2,3,5,0,1561.76,90
641,2,1,1,4,1,1717.93,91
642,7,2,6,12,0,1561.76,88
643,1,3,3,5,0,2079.0,81
644,7,2,7,5,1,1561.76,99
645,2,1,6,5,0,1717.93,77
646,1,3,4,3,0,2079.0,76
647,1,3,2,6,0,2079.0,88
648,4,6,6,6,0,623.48,83
649,5,7,6,12,0,1363.71,86
650,7,2,4,9,0,1561.76,89
651,2,1,1,3,1,1717.93,93
652,2,1,2,6,0,1717.93,90
653,1,3,2,5,0,2079.0,89
654,4,6,6,9,0,623.48,88
655,4,6,3,3,0,623.48,76
656,7,2,1,3,1,1561.76,97
657,2,1,5,1,0,1717.93,78
658,1,3,4,5,0,2079.0,78
659,2,1,2,6,0,1717.93,77
660,1,3,4,9,0,2079.0,80
661,1,3,4,3,0,2079.0,80
662,1,3,6,9,0,2079.0,81
663,5,7,6,9,0,1363.71,80
664,2,1,4,4,0,1717.93,85
665,7,2,7,5,1,1561.76,92
666,2,1,7,4,1,1717.93,91
667,1,3,1,3,1,2079.0,91
668,7,2,7,5,1,1561.76,97
669,4,6,6,12,0,623.48,87
670,1,3,4,3,0,2079.0,89
671,1,3,3,5,0,2079.0,83
672,1,3,5,3,0,2079.0,86
673,1,3,5,6,0,2079.0,85
674,7,2,5,9,0,1561.76,89
675,7,2,7,5,1,1561.76,95
676,2,1,3,6,0,1717.93,83
677,1,3,7,6,1,2079.0,90
678,7,2,4,5,0,1561.76,78
679,5,7,3,3,0,1363.71,76
680,1,3,7,5,1,2079.0,98
681,1,3,4,5,0,2079.0,76
682,7,2,5,9,0,1561.76,79
683,1,3,1,1,1,2079.0,93
684,2,1,2,5,0,1717.93,86
685,1,3,6,12,0,2079.0,77
686,5,7,6,3,0,1363.71,86
687,1,3,1,1,1,2079.0,93
688,5,7,5,3,0,1363.71,75
689,2,1,3,6,0,1717.93,88
690,4,6,2,3,0,623.48,89
691,1,3,5,6,0,2079.0,86
692,7,2,1,3,1,1561.76,91
693,2,1,1,3,1,1717.93,95
694,7,2,5,12,0,1561.76,86
695,1,3,2,5,0,2079.0,79
696,1,3,4,9,0,2079.0,85
697,5,7,2,3,0,1363.71,79
698,1,3,7,6,1,2079.0,92
699,1,3,2,5,0,2079.0,79
700,7,2,5,9,0,1561.76,76
701,2,1,4,6,0,1717.93,81
702,1,3,7,1,1,2079.0,93
703,7,2,1,3,1,1561.76,100
704,2,1,3,3,0,1717.93,89
705,5,7,5,3,0,1363.71,90
706,7,2,3,5,0,1561.76,88
707,7,2,5,9,0,1561.76,89
708,1,3,5,3,0,2079.0,76
709,2,1,7,6,1,1717.93,95
710,1,3,1,1,1,2079.0,100
711,4,6,5,12,0,623.48,84
712,1,3,4,3,0,2079.0,83
713,7,2,1,3,1,1561.76,94
714,7,2,2,3,0,1561.76,79
715,1,3,6,1,0,2079.0,89
716,5,7,4,3,0,1363.71,89
717,1,3,5,3,0,2079.0,89
718,4,6,6,12,0,623.48,83
719,7,2,1,3,1,1561.76,98
720,1,3,5,3,0,2079.0,90
721,1,3,7,6,1,2079.0,93
722,7,2,7,5,1,1561.76,90
723,1,3,3,6,0,2079.0,75
724,1,3,4,5,0,2079.0,86
725,7,2,5,4,0,1561.76,85
726,1,3,1,1,1,2079.0,92
727,1,3,5,3,0,2079.0,86
728,1,3,6,12,0,2079.0,78
729,4,6,2,6,0,623.48,88
730,1,3,3,5,0,2079.0,77
731,2,1,2,3,0,1717.93,87
732,7,2,2,4,0,1561.76,85
733,5,7,5,12,0,1363.71,76
734,4,6,2,6,0,623.48,89
735,7,2,5,9,0,1561.76,85
