From,To,FlightId,Day,Month,Distance,Occupancy,Fuel_Cost,Ground_Cost,Price
7,2,3,4,5,1561.76,90,204000,1925,2040.363871
7,2,3,6,9,1561.76,79,192000,1925,2267.070968
1,3,3,2,6,2079,80,201600,1770,2551.5
7,2,3,5,12,1561.76,86,198000,1925,1353.525333
2,1,3,7,1,1717.93,96,1738,1400,3092.274
1,3,3,7,5,2079,90,244800,1770,4351.395349
1,3,3,4,3,2079,86,237600,1770,2878.615385
1,3,3,4,3,2079,78,230400,1770,2182.95
1,3,3,5,9,2079,87,223200,1770,2201.294118
1,3,3,6,5,2079,81,244800,1770,2923.59375
2,1,3,2,3,1717.93,84,1738,1400,2091.393043
2,1,3,4,12,1717.93,89,1738,1400,2177.657746
7,2,3,5,12,1561.76,85,192000,1925,1301.466667
1,3,3,2,6,2079,81,201600,1770,2175.697674
1,3,3,5,6,2079,79,216000,1770,2030.651163
1,3,3,7,5,2079,95,223200,1770,4351.395349
1,3,3,2,6,2079,84,201600,1770,2751.617647
1,3,3,1,3,2079,95,230400,1770,3436.714286
2,1,3,6,12,1717.93,76,1738,1400,1552.346386
1,3,3,5,9,2079,85,223200,1770,2699.597015
2,1,3,4,9,1717.93,79,1738,1400,2240.778261
4,6,1,3,3,623.48,77,61600,1950,748.176
7,2,3,4,6,1561.76,87,174000,1925,1860.331765
1,3,3,5,1,2079,85,208800,1770,2289.531646
5,7,2,5,12,1363.71,81,161700,1850,1818.28
7,2,2,3,5,1561.76,77,204000,1925,2156.71619
7,2,3,6,12,1561.76,84,180000,1925,1697.565217
7,2,2,4,6,1561.76,85,198000,1925,1677.445926
2,1,3,2,6,1717.93,83,1738,1400,1763.138684
5,7,2,4,3,1363.71,87,161700,1850,1762.332923
2,1,3,5,3,1717.93,75,1738,1400,1595.220714
1,3,3,7,6,2079,93,230400,1770,3543.75
1,3,3,5,12,2079,84,223200,1770,2079
7,2,2,7,6,1561.76,97,186000,1925,2981.541818
1,3,3,3,5,2079,90,223200,1770,2306.835616
1,3,3,7,5,2079,97,208800,1770,4563.658537
1,3,3,5,6,2079,77,230400,1770,2179.192771
1,3,3,5,6,2079,88,208800,1770,2079
2,1,3,6,5,1717.93,76,1738,1400,2061.516
1,3,3,1,3,2079,96,201600,1770,4206.348837
1,3,3,4,9,2079,78,223200,1770,2259.782609
7,2,2,5,6,1561.76,78,168000,1925,1331.045455
1,3,3,7,6,2079,98,230400,1770,4252.5
1,3,3,6,9,2079,85,223200,1770,2328.48
1,3,3,3,5,2079,75,223200,1770,1940.4
7,2,3,3,5,1561.76,79,192000,1925,1542.714146
1,3,3,4,3,2079,89,216000,1770,2598.75
1,3,3,2,3,2079,90,223200,1770,2476.455882
1,3,3,2,6,2079,80,201600,1770,2126.25
1,3,3,6,9,2079,90,216000,1770,2621.347826
7,2,2,2,3,1561.76,90,180000,1925,1845.716364
1,3,3,5,3,2079,85,244800,1770,2615.516129
2,1,3,5,6,1717.93,90,1738,1400,2365.674098
7,2,3,5,12,1561.76,87,204000,1925,1653.628235
7,2,2,6,5,1561.76,78,204000,1925,1964.794839
7,2,3,5,9,1561.76,89,186000,1925,2007.977143
1,3,3,5,6,2079,89,237600,1770,2494.8
2,1,3,1,3,1717.93,100,1738,1400,3162.552955
7,2,3,5,12,1561.76,80,180000,1925,1400.198621
1,3,3,2,6,2079,76,244800,1770,2574
7,2,2,7,1,1561.76,97,186000,1925,3346.628571
2,1,3,1,3,1717.93,97,1738,1400,3155.381633
7,2,3,6,9,1561.76,79,168000,1925,1301.466667
1,3,3,5,9,2079,87,244800,1770,2371.816901
1,3,3,6,12,2079,86,237600,1770,1878.614458
1,3,3,2,5,2079,79,208800,1770,2104.9875
4,6,1,1,3,623.48,93,68200,1950,1205.394667
2,1,3,3,5,1717.93,78,1738,1400,2307.667164
1,3,3,4,3,2079,80,201600,1770,2970
2,1,3,2,5,1717.93,86,1738,1400,1992.7988
1,3,3,2,3,2079,82,230400,1770,2103.174419
1,3,3,5,4,2079,81,223200,1770,2259.782609
7,2,2,6,9,1561.76,80,168000,1925,1561.76
1,3,3,5,6,2079,81,237600,1770,2297.842105
7,2,2,4,6,1561.76,78,186000,1925,2129.672727
7,2,2,6,12,1561.76,80,204000,1925,1599.851707
1,3,3,2,3,2079,83,244800,1770,2862.885246
7,2,3,3,5,1561.76,76,204000,1925,2090.355692
7,2,3,4,6,1561.76,76,174000,1925,1433.144471
1,3,3,3,5,2079,83,216000,1770,2254.337349
1,3,3,1,1,2079,91,208800,1770,4067.608696
4,6,1,4,3,623.48,75,66000,1950,608.9804651
1,3,3,4,5,2079,81,201600,1770,2590.753846
7,2,3,4,6,1561.76,89,192000,1925,1697.565217
5,7,2,5,12,1363.71,80,156800,1850,1648.664328
1,3,3,2,6,2079,89,216000,1770,1981.164706
1,3,3,5,6,2079,82,201600,1770,2772
7,2,2,5,6,1561.76,77,192000,1925,1681.895385
7,2,2,4,3,1561.76,87,192000,1925,1929.232941
2,1,3,6,12,1717.93,87,1738,1400,1488.872667
2,1,3,1,3,1717.93,94,1738,1400,3393.959268
1,3,3,4,3,2079,78,208800,1770,2156
1,3,3,2,6,2079,86,237600,1770,2104.9875
2,1,3,5,6,1717.93,89,1738,1400,2186.456364
2,1,3,3,12,1717.93,88,1738,1400,1761.421899
5,7,2,5,6,1363.71,88,156800,1850,1316.685517
7,2,2,6,12,1561.76,86,204000,1925,1353.525333
1,3,3,2,6,2079,80,237600,1770,2328.48
2,1,3,2,3,1717.93,85,1738,1400,1696.184051
1,3,3,4,3,2079,84,244800,1770,2359.945946
7,2,3,1,3,1561.76,90,192000,1925,2724
2,1,3,4,3,1717.93,79,1738,1400,1637.086235
1,3,3,4,4,2079,75,244800,1770,1751.966292
1,3,3,7,5,2079,98,237600,1770,3898.125
1,3,3,4,3,2079,86,244800,1770,2514.919355
2,1,3,5,4,1717.93,80,1738,1400,1923.05597
1,3,3,4,3,2079,88,208800,1770,3067.377049
2,1,3,5,6,1717.93,78,1738,1400,1717.93
7,2,3,3,5,1561.76,79,204000,1925,2037.078261
1,3,3,7,5,2079,98,216000,1770,3508.3125
2,1,3,5,12,1717.93,81,1738,1400,2264.544091
1,3,3,5,6,2079,75,208800,1770,2411.64
1,3,3,5,6,2079,77,216000,1770,2425.5
1,3,3,4,3,2079,76,230400,1770,2556.147541
1,3,3,1,1,2079,91,208800,1770,4351.395349
4,6,1,2,6,623.48,76,70400,1950,801.6171429
7,2,2,6,9,1561.76,75,180000,1925,1601.298228
2,1,3,1,1,1717.93,100,1738,1400,2839.843469
2,1,3,5,12,1717.93,86,1738,1400,2372.379524
1,3,3,6,9,2079,87,208800,1770,1935.62069
2,1,3,4,12,1717.93,88,1738,1400,1498.194767
1,3,3,6,12,2079,88,223200,1770,2772
4,6,1,2,3,623.48,85,74800,1950,753.3716667
1,3,3,5,9,2079,87,201600,1770,2772
1,3,3,6,9,2079,88,244800,1770,2127.917647
1,3,3,5,6,2079,75,237600,1770,2461.973684
1,3,3,1,3,2079,91,244800,1770,4677.75
2,1,3,7,4,1717.93,100,1738,1400,2863.216667
4,6,1,3,5,623.48,75,61600,1950,646.5718519
4,6,1,2,5,623.48,81,72600,1950,834.504
7,2,3,1,3,1561.76,100,186000,1925,2486.066939
7,2,2,4,12,1561.76,76,174000,1925,1368.733483
1,3,3,7,5,2079,95,223200,1770,4019.4
1,3,3,3,9,2079,83,237600,1770,1958.127907
1,3,3,7,1,2079,96,223200,1770,3309.428571
7,2,2,7,1,1561.76,97,168000,1925,2900.411429
1,3,3,2,6,2079,78,223200,1770,1871.1
1,3,3,7,5,2079,93,223200,1770,3492.72
2,1,3,6,3,1717.93,88,1738,1400,1741.14527
1,3,3,2,6,2079,90,201600,1770,2281.829268
2,1,3,2,3,1717.93,87,1738,1400,1431.608333
7,2,2,5,6,1561.76,82,198000,1925,1836.123243
1,3,3,6,9,2079,86,223200,1770,2368.481013
5,7,2,6,12,1363.71,90,151900,1850,1614.919737
5,7,2,2,3,1363.71,80,151900,1850,1380.756375
2,1,3,4,4,1717.93,85,1738,1400,2233.309
1,3,3,6,9,2079,90,237600,1770,2007.310345
1,3,3,4,5,2079,76,223200,1770,2590.753846
5,7,2,5,6,1363.71,83,137200,1850,1527.3552
1,3,3,5,6,2079,88,223200,1770,2615.516129
1,3,3,1,3,2079,96,208800,1770,4411.536585
1,3,3,1,1,2079,92,230400,1770,3848.361702
7,2,3,6,5,1561.76,81,204000,1925,1433.144471
1,3,3,4,3,2079,88,201600,1770,1925
1,3,3,5,3,2079,86,208800,1770,2621.347826
4,6,1,5,3,623.48,79,66000,1950,615.8765854
2,1,3,5,9,1717.93,77,1738,1400,1999.978209
2,1,3,6,6,1717.93,75,1738,1400,1696.184051
1,3,3,5,6,2079,77,230400,1770,2658.393443
1,3,3,4,3,2079,84,223200,1770,1962.202247
2,1,3,4,3,1717.93,86,1738,1400,1758.351882
2,1,3,1,3,1717.93,98,1738,1400,2960.687872
7,2,2,2,3,1561.76,87,198000,1925,1673.314286
1,3,3,3,9,2079,86,201600,1770,2205.768293
7,2,3,3,5,1561.76,79,204000,1925,1421.377079
1,3,3,5,3,2079,87,216000,1770,2792.686567
1,3,3,2,6,2079,79,237600,1770,2133.710526
7,2,2,6,12,1561.76,85,180000,1925,1526.66427
5,7,2,5,1,1363.71,87,156800,1850,1294.661392
2,1,3,2,6,1717.93,86,1738,1400,2089.374324
7,2,2,7,1,1561.76,98,174000,1925,2953.763478
1,3,3,6,12,2079,76,237600,1770,2297.842105
1,3,3,1,1,2079,95,208800,1770,3660.847826
1,3,3,5,6,2079,82,216000,1770,2398.846154
1,3,3,4,9,2079,84,208800,1770,1892.123596
4,6,1,6,3,623.48,79,74800,1950,540.3493333
4,6,1,4,3,623.48,82,70400,1950,655.8685714
7,2,2,6,12,1561.76,75,192000,1925,1582.042597
1,3,3,3,9,2079,85,230400,1770,1856.25
1,3,3,2,6,2079,81,237600,1770,2233
7,2,3,6,12,1561.76,87,186000,1925,1709.494054
1,3,3,1,3,2079,90,223200,1770,4110.75
2,1,3,6,5,1717.93,75,1738,1400,2122.148824
7,2,2,5,6,1561.76,83,192000,1925,1920.196721
7,2,2,4,6,1561.76,90,198000,1925,1698.414
1,3,3,2,5,2079,80,230400,1770,2514.919355
2,1,3,5,12,1717.93,78,1738,1400,1756.973864
1,3,3,2,6,2079,77,216000,1770,2606.507463
1,3,3,2,5,2079,80,244800,1770,2686.707692
2,1,3,3,12,1717.93,82,1738,1400,1924.0816
1,3,3,1,3,2079,93,208800,1770,3660.847826
1,3,3,5,3,2079,79,230400,1770,2129.707317
7,2,2,5,6,1561.76,82,186000,1925,2304.236066
4,6,1,2,6,623.48,85,74800,1950,623.48
7,2,3,7,5,1561.76,93,204000,1925,2953.763478
2,1,3,4,6,1717.93,82,1738,1400,1999.978209
2,1,3,5,3,1717.93,80,1738,1400,1717.93
5,7,2,2,3,1363.71,77,156800,1850,1346.447848
1,3,3,5,6,2079,79,223200,1770,2871
2,1,3,5,9,1717.93,83,1738,1400,2004.251667
4,6,1,3,3,623.48,88,68200,1950,847.543125
2,1,3,5,6,1717.93,81,1738,1400,1660.665667
7,2,2,5,12,1561.76,83,168000,1925,1830.1875
1,3,3,5,6,2079,75,223200,1770,2621.347826
1,3,3,3,9,2079,81,201600,1770,2514.919355
1,3,3,4,3,2079,76,201600,1770,2556.147541
2,1,3,6,3,1717.93,80,1738,1400,2273.730882
1,3,3,5,6,2079,81,244800,1770,2281.829268
1,3,3,5,6,2079,75,201600,1770,2513.41791
7,2,2,4,4,1561.76,83,174000,1925,1604.547945
7,2,3,3,5,1561.76,77,198000,1925,1579.92
1,3,3,4,3,2079,77,208800,1770,2384.735294
7,2,2,6,12,1561.76,79,192000,1925,1726.155789
1,3,3,1,3,2079,96,244800,1770,3626.162791
5,7,2,2,6,1363.71,76,166600,1850,1547.995135
1,3,3,5,6,2079,80,237600,1770,2297.842105
5,7,2,3,5,1363.71,87,142100,1850,1345.766447
1,3,3,5,6,2079,76,230400,1770,2025
1,3,3,1,1,2079,91,237600,1770,4677.75
7,2,2,6,3,1561.76,80,168000,1925,1698.414
2,1,3,5,6,1717.93,87,1738,1400,1840.639286
1,3,3,6,9,2079,86,216000,1770,3017.903226
7,2,3,7,6,1561.76,99,198000,1925,3019.402667
2,1,3,3,12,1717.93,82,1738,1400,2034.390789
7,2,2,7,1,1561.76,99,198000,1925,2941.92
1,3,3,2,5,2079,88,201600,1770,2411.64
1,3,3,2,5,2079,81,237600,1770,2659.897059
1,3,3,2,6,2079,80,244800,1770,2658.393443
2,1,3,1,3,1717.93,94,1738,1400,3513.947727
7,2,3,1,3,1561.76,97,204000,1925,2981.541818
7,2,3,6,9,1561.76,88,198000,1925,1715.736338
1,3,3,5,3,2079,85,201600,1770,2556.147541
2,1,3,4,9,1717.93,83,1738,1400,1830.951711
7,2,2,3,12,1561.76,83,186000,1925,1958.027463
2,1,3,6,5,1717.93,89,1738,1400,1717.93
7,2,3,4,6,1561.76,82,168000,1925,2073.812459
1,3,3,4,9,2079,83,244800,1770,2283.971831
1,3,3,4,3,2079,90,201600,1770,2126.25
1,3,3,3,6,2079,76,230400,1770,2127.917647
1,3,3,2,5,2079,76,208800,1770,2133.710526
2,1,3,7,6,1717.93,90,1738,1400,2977.745333
1,3,3,2,5,2079,86,216000,1770,1984.5
7,2,3,5,9,1561.76,87,198000,1925,1929.232941
1,3,3,2,6,2079,85,216000,1770,2461.973684
1,3,3,4,9,2079,86,216000,1770,2052.683544
7,2,3,5,6,1561.76,81,186000,1925,1653.628235
1,3,3,2,5,2079,85,244800,1770,2816.709677
1,3,3,6,12,2079,87,223200,1770,2362.5
7,2,2,6,9,1561.76,83,180000,1925,1722.529412
2,1,3,4,4,1717.93,85,1738,1400,1840.639286
2,1,3,7,4,1717.93,95,1738,1400,2960.687872
1,3,3,4,5,2079,75,208800,1770,2053.646341
7,2,3,7,6,1561.76,93,174000,1925,2928.3
2,1,3,5,1,1717.93,82,1738,1400,1603.401333
1,3,3,4,3,2079,77,201600,1770,2191.378378
2,1,3,1,1,1717.93,100,1738,1400,3681.278571
2,1,3,2,3,1717.93,77,1738,1400,2147.4125
1,3,3,5,3,2079,75,216000,1770,1885.604651
2,1,3,6,6,1717.93,80,1738,1400,2372.379524
1,3,3,2,6,2079,80,230400,1770,2281.829268
2,1,3,6,9,1717.93,81,1738,1400,1810.791081
7,2,3,1,3,1561.76,95,168000,1925,2662.090909
2,1,3,5,6,1717.93,79,1738,1400,2197.939853
2,1,3,2,6,1717.93,78,1738,1400,1850.078462
7,2,2,1,3,1561.76,99,180000,1925,2915.285333
1,3,3,4,5,2079,82,230400,1770,2728.6875
1,3,3,6,12,2079,82,201600,1770,3067.377049
5,7,2,1,3,1363.71,91,137200,1850,2504.773469
7,2,2,4,9,1561.76,78,180000,1925,1582.042597
2,1,3,3,9,1717.93,77,1738,1400,1717.93
1,3,3,2,4,2079,79,208800,1770,2598.75
7,2,2,6,5,1561.76,80,204000,1925,1421.377079
2,1,3,4,9,1717.93,80,1738,1400,2032.480563
2,1,3,2,3,1717.93,84,1738,1400,2534.65082
4,6,1,4,3,623.48,80,70400,1950,615.5878481
1,3,3,5,9,2079,83,208800,1770,2631.234375
1,3,3,4,3,2079,76,244800,1770,2129.707317
7,2,3,6,12,1561.76,87,174000,1925,1485.576585
7,2,2,1,3,1561.76,99,186000,1925,2662.090909
2,1,3,2,3,1717.93,83,1738,1400,1741.14527
1,3,3,2,6,2079,81,244800,1770,2133.710526
1,3,3,5,9,2079,78,208800,1770,1834.411765
2,1,3,4,9,1717.93,90,1738,1400,1906.196301
7,2,3,7,1,1561.76,90,174000,1925,3268.8
1,3,3,5,6,2079,76,223200,1770,2673
5,7,2,4,3,1363.71,86,156800,1850,1909.194
1,3,3,1,1,2079,97,208800,1770,3525.26087
4,6,1,3,6,623.48,89,72600,1950,601.9806897
7,2,2,7,5,1561.76,90,192000,1925,2591.857021
1,3,3,2,5,2079,84,237600,1770,2740.5
1,3,3,1,1,2079,98,223200,1770,3564
1,3,3,5,9,2079,90,216000,1770,1981.164706
1,3,3,4,5,2079,81,216000,1770,2165.625
1,3,3,1,3,2079,98,244800,1770,3768.1875
1,3,3,3,5,2079,89,208800,1770,2475
2,1,3,5,6,1717.93,84,1738,1400,2307.667164
1,3,3,5,1,2079,77,201600,1770,2106
5,7,2,4,3,1363.71,90,151900,1850,1410.734483
2,1,3,3,9,1717.93,90,1738,1400,2534.65082
7,2,3,5,6,1561.76,89,198000,1925,1681.895385
2,1,3,3,12,1717.93,79,1738,1400,2319.2055
1,3,3,4,3,2079,86,223200,1770,2268
1,3,3,7,6,2079,96,244800,1770,3603.6
2,1,3,3,9,1717.93,88,1738,1400,2196.697377
1,3,3,5,6,2079,90,216000,1770,2556.147541
7,2,3,5,6,1561.76,90,198000,1925,1732.911781
1,3,3,3,5,2079,75,208800,1770,2659.897059
2,1,3,5,4,1717.93,80,1738,1400,1698.408068
1,3,3,4,3,2079,85,237600,1770,2917.306452
1,3,3,6,12,2079,80,244800,1770,2444.22973
1,3,3,7,5,2079,90,237600,1770,4110.75
7,2,2,6,12,1561.76,78,204000,1925,1561.76
1,3,3,3,5,2079,80,244800,1770,1930.5
1,3,3,5,3,2079,76,201600,1770,2055.375
2,1,3,7,5,1717.93,97,1738,1400,2886.1224
7,2,2,1,3,1561.76,97,168000,1925,2832.96
7,2,2,5,12,1561.76,81,192000,1925,1454.052414
1,3,3,7,5,2079,94,230400,1770,4351.395349
1,3,3,2,6,2079,90,216000,1770,2459.661972
1,3,3,3,9,2079,78,223200,1770,2923.59375
1,3,3,4,5,2079,89,230400,1770,2475
7,2,3,7,5,1561.76,98,204000,1925,2623.7568
4,6,1,7,5,623.48,91,61600,1950,1122.264
2,1,3,4,12,1717.93,76,1738,1400,1634.128537
5,7,2,3,5,1363.71,78,156800,1850,1587.602687
1,3,3,5,6,2079,77,223200,1770,2494.8
2,1,3,1,3,1717.93,100,1738,1400,3595.667442
1,3,3,4,5,2079,79,237600,1770,2806.65
2,1,3,4,9,1717.93,82,1738,1400,1679.324831
7,2,2,4,6,1561.76,82,186000,1925,1378.023529
2,1,3,4,12,1717.93,81,1738,1400,1758.351882
1,3,3,5,9,2079,78,223200,1770,2338.875
7,2,2,6,1,1561.76,82,174000,1925,1316.089888
2,1,3,5,4,1717.93,86,1738,1400,1999.978209
2,1,3,1,1,1717.93,96,1738,1400,3435.86
1,3,3,7,5,2079,92,237600,1770,3768.1875
1,3,3,1,3,2079,97,230400,1770,3617.46
1,3,3,1,4,2079,95,230400,1770,3742.2
1,3,3,4,9,2079,82,201600,1770,2806.65
1,3,3,5,6,2079,76,208800,1770,1958.127907
2,1,3,1,4,1717.93,95,1738,1400,3558.569286
7,2,3,5,12,1561.76,87,186000,1925,1503.917037
1,3,3,7,5,2079,94,244800,1770,4009.5
2,1,3,6,3,1717.93,89,1738,1400,1987.890429
7,2,3,6,9,1561.76,81,192000,1925,2030.288
2,1,3,3,6,1717.93,88,1738,1400,1987.890429
1,3,3,2,6,2079,78,230400,1770,2051.644737
5,7,2,1,1,1363.71,99,137200,1850,2337.788571
7,2,2,4,5,1561.76,75,168000,1925,2018.274462
7,2,2,6,1,1561.76,79,180000,1925,1660.60557
1,3,3,6,9,2079,90,208800,1770,2405.7
1,3,3,1,1,2079,98,208800,1770,3317.553191
1,3,3,5,6,2079,83,230400,1770,2528.513514
2,1,3,5,4,1717.93,76,1738,1400,1818.984706
1,3,3,5,6,2079,86,244800,1770,2530.956522
1,3,3,7,5,2079,92,208800,1770,3465
1,3,3,2,3,2079,80,223200,1770,2158.961538
5,7,2,5,6,1363.71,86,137200,1850,1684.582941
7,2,2,7,5,1561.76,94,180000,1925,3235.074286
1,3,3,7,6,2079,98,230400,1770,3969
1,3,3,4,3,2079,81,223200,1770,2238.923077
2,1,3,7,1,1717.93,100,1738,1400,3595.667442
1,3,3,4,4,2079,84,230400,1770,2436.328125
2,1,3,3,9,1717.93,89,1738,1400,2186.456364
7,2,3,7,6,1561.76,97,186000,1925,2602.933333
7,2,3,5,12,1561.76,81,204000,1925,2231.085714
7,2,3,2,6,1561.76,82,186000,1925,1582.864865
1,3,3,6,9,2079,90,244800,1770,2306.835616
1,3,3,1,3,2079,98,230400,1770,3981.06383
2,1,3,3,3,1717.93,75,1738,1400,2034.390789
1,3,3,5,3,2079,90,244800,1770,2289.531646
1,3,3,4,3,2079,84,230400,1770,2252.25
1,3,3,2,6,2079,79,208800,1770,2658.393443
1,3,3,2,6,2079,89,216000,1770,2281.829268
2,1,3,3,9,1717.93,78,1738,1400,1546.137
1,3,3,1,3,2079,96,237600,1770,3582.957447
2,1,3,4,3,1717.93,81,1738,1400,2405.102
7,2,2,7,5,1561.76,98,180000,1925,2440.25
2,1,3,2,3,1717.93,87,1738,1400,1679.324831
1,3,3,3,5,2079,89,201600,1770,3014.55
7,2,3,6,12,1561.76,75,180000,1925,1874.112
1,3,3,7,5,2079,90,223200,1770,3436.714286
7,2,2,6,5,1561.76,85,204000,1925,1976.6025
1,3,3,5,9,2079,83,216000,1770,2728.6875
7,2,2,1,4,1561.76,100,198000,1925,2691.54383
5,7,2,2,6,1363.71,84,147000,1850,1625.243425
2,1,3,5,1,1717.93,82,1738,1400,2454.185714
7,2,2,7,5,1561.76,94,186000,1925,3279.696
5,7,2,1,1,1363.71,92,156800,1850,2301.260625
2,1,3,2,3,1717.93,79,1738,1400,1741.14527
2,1,3,5,1,1717.93,79,1738,1400,2112.209016
1,3,3,6,1,2079,85,201600,1770,2281.829268
1,3,3,2,6,2079,85,244800,1770,2740.5
1,3,3,5,6,2079,77,230400,1770,2268
1,3,3,5,3,2079,84,237600,1770,2475
7,2,3,4,6,1561.76,88,180000,1925,1353.525333
1,3,3,5,6,2079,90,230400,1770,1953.759036
1,3,3,6,1,2079,83,230400,1770,2475
7,2,3,4,5,1561.76,90,174000,1925,1619.602963
1,3,3,6,12,2079,85,216000,1770,2102.359551
2,1,3,6,9,1717.93,75,1738,1400,1982.226923
4,6,1,4,3,623.48,88,70400,1950,537.4827586
